detected_area,cafes,avg_rating,avg_reviews,avg_sentiment,avg_comp_500,avg_rent,avg_utility
Jumeirah,316,4.543670886075949,1046.0727848101267,0.392533362420469,32.87341772151899,170.0,2100.417921348315
Deira,301,4.281756756756757,1194.793918918919,0.3028018331294209,37.308970099667775,105.0,2434.818440860215
Downtown Dubai,191,4.548148148148148,1719.1904761904761,0.3975193164658821,107.10994764397905,340.0,2439.96
Dubai Marina,143,4.591608391608392,1245.3496503496503,0.40152578449344395,41.11188811188811,240.0,2355.8846590909093
Al Barsha,122,4.522314049586777,856.3140495867768,0.3511303449961091,20.442622950819672,135.0,1772.664117647059
Business Bay,111,4.5477477477477475,508.43243243243245,0.38531148808964033,22.90990990990991,210.0,2282.539166666667
Sheikh Zayed Road,107,4.521495327102804,3285.2523364485983,0.37924286948693786,29.962616822429908,200.0,2146.7666666666664
Mirdif,101,4.473,1214.5,0.35605929261929453,22.396039603960396,125.0,1543.0865079365078
International City,90,4.163636363636363,901.2159090909091,0.2753920573539228,22.58888888888889,60.0,2135.115777777778
Oud Metha,86,4.437647058823529,1155.9529411764706,0.3507325200813155,34.68604651162791,100.0,2264.858
Difc,84,4.582142857142857,801.6666666666666,0.4061748581035847,58.154761904761905,310.0,2439.96
Karama,80,4.41875,1042.2625,0.3295189750167329,44.2875,85.0,2439.96
Dubai Silicon Oasis,80,4.4192307692307695,582.4358974358975,0.36438935844489334,14.9875,95.0,1403.841625
Jlt,76,4.571052631578947,725.4078947368421,0.37909525941199734,35.276315789473685,190.0,2349.2228571428573
Al Quoz,73,4.6194444444444445,504.19444444444446,0.3826476127325188,7.904109589041096,115.0,2188.0725806451615
Umm Suqeim,67,4.54179104477612,806.5970149253732,0.39938914797410174,13.82089552238806,160.0,1841.0762162162164
Mall Of The Emirates,65,4.506153846153846,1046.7692307692307,0.3838493396693433,72.63076923076923,380.0,2439.96
Jbr,56,4.667857142857143,1788.9285714285713,0.38826812356847556,56.17857142857143,260.0,2433.634090909091
Motor City,53,4.430188679245283,832.188679245283,0.3302550558422607,22.867924528301888,105.0,1540.1628571428573
Bluewaters,52,4.680769230769231,1133.0192307692307,0.4041565240520795,50.40384615384615,270.0,2114.241875
Al Wasl,49,4.595833333333333,895.3541666666666,0.35994279329625434,15.510204081632653,155.0,2177.420666666667
Barsha Heights,47,4.406382978723404,781.6382978723404,0.399141263152064,29.659574468085108,150.0,1980.0494736842106
Jvc,37,4.678378378378378,483.5945945945946,0.35874462210916136,5.72972972972973,155.0,1332.308888888889
Dubai Mall,32,4.634375,3826.71875,0.38978990319442963,136.78125,450.0,2439.96
Satwa,30,4.569999999999999,587.0,0.2871756252568044,13.9,90.0,2439.96
Bur Dubai,24,4.4624999999999995,1362.6666666666667,0.3728034655116465,27.125,95.0,2428.6042857142857
City Walk,20,4.58,1240.7,0.40274282241188786,20.35,290.0,2439.96
Media City,19,4.531578947368421,419.94736842105266,0.4012691592495167,18.263157894736842,185.0,1946.755
Internet City,16,4.586666666666667,186.8,0.39605628363016826,18.9375,185.0,1987.11
Dubai Design District,13,4.392307692307693,915.1538461538462,0.31998483832073304,9.692307692307692,200.0,1880.275
Palm Jumeirah,8,4.7375,721.125,0.4271937251560597,40.375,280.0,1803.6200000000001
